City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,71.55,90,85,5.99,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,53.26,50,40,13.8,scattered clouds
2,Carnarvon,AU,-24.8667,113.6333,102.27,8,3,14.97,clear sky
3,Khatanga,RU,71.9667,102.5,-19.97,92,67,4.63,broken clouds
4,Emerald,AU,-23.5333,148.1667,82.35,50,100,12.5,overcast clouds
5,Rocha,UY,-34.4833,-54.3333,63.32,73,0,8.84,clear sky
6,Iqaluit,CA,63.7506,-68.5145,11.93,66,90,5.99,overcast clouds
7,Ketchikan,US,55.3422,-131.6461,28.87,74,1,9.22,clear sky
8,Jamestown,US,42.097,-79.2353,34.09,95,90,3.0,snow
9,Punta Arenas,CL,-53.15,-70.9167,55.51,58,90,8.05,light rain
10,Saint-Francois,FR,46.4154,3.9054,51.48,93,90,4.61,moderate rain
11,Leningradskiy,RU,69.3833,178.4167,-24.72,97,100,3.44,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,58.89,78,92,4.41,overcast clouds
13,Port Elizabeth,ZA,-33.918,25.5701,65.1,88,0,3.44,clear sky
14,Liberty,US,31.8335,-81.5004,66.31,85,20,3.0,few clouds
15,Cherskiy,RU,68.75,161.3,-45.99,99,100,3.02,overcast clouds
16,Szarvas,HU,46.8667,20.55,34.14,94,100,6.46,snow
17,Rikitea,PF,-23.1203,-134.9692,78.76,75,41,10.54,scattered clouds
18,Airai,TL,-8.9266,125.4092,71.73,66,59,3.42,broken clouds
19,Atuona,PF,-9.8,-139.0333,78.87,74,6,19.06,clear sky
20,Nikolskoye,RU,59.7035,30.7861,22.39,84,100,8.97,overcast clouds
21,Belyy Yar,RU,53.6039,91.3903,-0.15,94,40,2.24,smoke
22,Smithers,CA,54.7804,-127.1743,-9.08,84,20,3.44,few clouds
23,Aklavik,CA,68.2191,-135.0107,-15.77,100,89,4.63,overcast clouds
24,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,1,10.36,clear sky
25,Ilulissat,GL,69.2167,-51.1,-2.06,70,97,5.59,overcast clouds
26,Saskylakh,RU,71.9167,114.0833,-29.72,100,66,4.7,broken clouds
