City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-12-28 01:47:43,-54.8,-68.3,42.46,81,40,13.8
1,Upernavik,GL,2021-12-28 01:47:43,72.7868,-56.1549,-5.15,77,78,5.26
2,Rikitea,PF,2021-12-28 01:47:44,-23.1203,-134.9692,76.6,84,100,24.67
3,Cape Town,ZA,2021-12-28 01:47:44,-33.9258,18.4232,63.12,95,75,13.8
4,Sangar,RU,2021-12-28 01:47:44,63.9242,127.4739,-53.99,99,58,2.19
5,Jamestown,US,2021-12-28 01:47:31,42.097,-79.2353,40.59,72,90,3.0
6,Aklavik,CA,2021-12-28 01:47:45,68.2191,-135.0107,-4.97,86,97,17.81
7,Saskylakh,RU,2021-12-28 01:47:45,71.9167,114.0833,-30.05,100,95,3.67
8,Mataura,NZ,2021-12-28 01:47:45,-46.1927,168.8643,59.49,47,100,6.46
9,Minot,US,2021-12-28 01:47:46,48.2325,-101.2963,-9.18,59,90,10.36
10,Hobart,AU,2021-12-28 01:45:21,-42.8794,147.3294,76.01,49,20,1.01
11,Norman Wells,CA,2021-12-28 01:47:46,65.282,-126.8329,3.24,78,90,26.46
12,Mahebourg,MU,2021-12-28 01:47:46,-20.4081,57.7,75.49,88,40,0.0
13,Molodizhne,UA,2021-12-28 01:47:47,48.1773,32.6601,22.75,96,100,17.56
14,Reshetylivka,UA,2021-12-28 01:47:47,49.565,34.0782,19.27,85,100,11.99
15,Meulaboh,ID,2021-12-28 01:47:47,4.1363,96.1285,79.54,74,16,1.88
16,Georgetown,MY,2021-12-28 01:47:47,5.4112,100.3354,82.33,79,20,3.0
17,Hoquiam,US,2021-12-28 01:47:48,46.9809,-123.8893,29.01,90,90,11.5
18,Valparaiso,CL,2021-12-28 01:47:48,-33.0393,-71.6273,66.47,76,75,4.61
19,Kavaratti,IN,2021-12-28 01:47:48,10.5669,72.642,79.88,70,9,5.86
20,Naze,JP,2021-12-28 01:47:49,28.3667,129.4833,56.32,56,64,8.95
21,Istok,XK,2021-12-28 01:47:49,42.7808,20.4875,46.17,93,100,2.28
22,Qaanaaq,GL,2021-12-28 01:47:49,77.484,-69.3632,-4.18,53,55,8.23
23,Tuktoyaktuk,CA,2021-12-28 01:47:50,69.4541,-133.0374,-7.6,77,90,33.38
24,Padang,ID,2021-12-28 01:47:51,-0.9492,100.3543,84.25,69,100,0.76
25,Punta Arenas,CL,2021-12-28 01:47:51,-53.15,-70.9167,46.51,66,20,16.11
26,Tabatinga,BR,2021-12-28 01:47:51,-4.2525,-69.9381,78.89,94,40,2.3
27,Kapaa,US,2021-12-28 01:46:55,22.0752,-159.319,82.38,72,40,1.01
28,Elliot Lake,CA,2021-12-28 01:47:52,46.3834,-82.6331,21.29,94,100,8.21
29,Honningsvag,NO,2021-12-28 01:47:52,70.9821,25.9704,22.53,61,100,4.52
30,Kapuskasing,CA,2021-12-28 01:47:52,49.4169,-82.4331,5.09,85,90,8.05
31,Tefe,BR,2021-12-28 01:47:53,-3.3542,-64.7114,75.63,97,100,2.01
32,Thompson,CA,2021-12-28 01:47:53,55.7435,-97.8558,-12.84,77,90,10.36
33,Vaini,TO,2021-12-28 01:47:53,-21.2,-175.2,84.36,84,75,3.44
34,Santo Domingo,DO,2021-12-28 01:47:54,18.5001,-69.9886,74.88,88,20,6.91
35,Bodden Town,KY,2021-12-28 01:47:54,19.2833,-81.25,78.93,84,20,3.0
36,Ozernovskiy,RU,2021-12-28 01:47:54,51.5,156.5167,30.13,78,59,4.07
37,Severo-Kurilsk,RU,2021-12-28 01:47:55,50.6789,156.125,32.07,89,100,13.62
